Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli (RCB),2024-2024,14,14,3,708,113*,64.36,455,155.6,1,5,0,59,37
RD Gaikwad (CSK),2024-2024,14,14,3,583,108*,53,413,141.16,1,4,2,58,18
TM Head (SRH),2024-2024,13,13,1,533,102,44.41,267,199.62,1,4,2,61,31
R Parag (RR),2024-2024,14,12,3,531,84*,59,348,152.58,0,4,0,38,31
B Sai Sudharsan (GT),2024-2024,12,12,1,527,103,47.9,373,141.28,1,2,0,48,16
KL Rahul (LSG),2024-2024,14,14,0,520,82,37.14,382,136.12,0,4,0,45,19
SV Samson (RR),2024-2024,14,13,4,504,86,56,322,156.52,0,5,1,47,23
N Pooran (LSG),2024-2024,14,14,6,499,75,62.37,280,178.21,0,3,1,35,36
SP Narine (KKR),2024-2024,14,13,0,482,109,37.07,268,179.85,1,3,1,50,32
Abhishek Sharma (SRH),2024-2024,14,14,1,470,75*,36.15,227,207.04,0,3,0,35,41
RR Pant (DC),2024-2024,13,13,2,446,88*,40.54,287,155.4,0,3,0,36,25
PD Salt (KKR),2024-2024,12,12,1,435,89*,39.54,239,182,0,4,1,50,24
Shubman Gill (GT),2024-2024,12,12,1,426,104,38.72,289,147.4,1,2,0,37,15
F du Plessis (RCB),2024-2024,14,14,0,421,64,30.07,257,163.81,0,4,0,45,20
RG Sharma (MI),2024-2024,14,14,1,417,105*,32.07,278,150,1,1,1,45,23
NT Tilak Varma (MI),2024-2024,13,13,3,416,65,41.6,278,149.64,0,3,0,35,19
H Klaasen (SRH),2024-2024,14,13,3,413,80*,41.3,229,180.34,0,3,0,18,34
S Dube (CSK),2024-2024,14,14,3,396,66*,36,244,162.29,0,3,2,28,28
MP Stoinis (LSG),2024-2024,14,14,2,388,124*,32.33,263,147.52,1,2,1,39,16
T Stubbs (DC),2024-2024,14,13,6,378,71*,54,198,190.9,0,3,1,24,26
RM Patidar (RCB),2024-2024,14,12,0,361,55,30.08,201,179.6,0,5,1,19,31
JC Buttler (RR),2024-2024,11,11,2,359,107*,39.88,255,140.78,2,0,1,36,12
Shashank Singh (PBKS),2024-2024,14,14,6,354,68*,44.25,215,164.65,0,2,2,28,21
YBK Jaiswal (RR),2024-2024,14,13,1,348,104*,29,228,152.63,1,1,1,42,13
SA Yadav (MI),2024-2024,11,11,1,345,102*,34.5,206,167.47,1,3,3,36,18
SS Iyer (KKR),2024-2024,14,13,4,345,58*,38.33,236,146.18,0,2,1,33,14
Prabhsimran Singh (PBKS),2024-2024,14,14,0,334,71,23.85,213,156.8,0,2,1,34,20
J Fraser-McGurk (DC),2024-2024,9,9,0,330,84,36.66,141,234.04,0,4,1,32,28
Abishek Porel (DC),2024-2024,14,12,2,327,65,32.7,205,159.51,0,2,1,36,13
Ishan Kishan (MI),2024-2024,14,14,0,320,69,22.85,215,148.83,0,1,2,35,16
VR Iyer (KKR),2024-2024,14,12,4,318,70,39.75,207,153.62,0,3,0,31,16
DJ Mitchell (CSK),2024-2024,13,13,2,318,63,28.9,223,142.6,0,2,0,27,10
KD Karthik (RCB),2024-2024,14,12,4,315,83,39.37,161,195.65,0,2,1,26,22
JM Bairstow (PBKS),2024-2024,11,11,1,298,108*,29.8,195,152.82,1,0,1,33,14
K Nitish Kumar Reddy (SRH),2024-2024,11,9,2,285,76*,40.71,192,148.43,0,2,0,14,20
SM Curran (PBKS),2024-2024,13,12,2,270,63*,27,219,123.28,0,2,1,24,6
RA Jadeja (CSK),2024-2024,14,11,5,267,57*,44.5,187,142.78,0,1,0,22,8
Q de Kock (LSG),2024-2024,11,11,0,250,81,22.72,186,134.4,0,3,1,29,9
AM Rahane (CSK),2024-2024,13,12,0,242,45,20.16,196,123.46,0,0,0,23,7
TH David (MI),2024-2024,13,11,3,241,45*,30.12,152,158.55,0,0,1,14,15
AR Patel (DC),2024-2024,14,12,4,235,66,29.37,179,131.28,0,2,1,19,10
A Badoni (LSG),2024-2024,14,12,4,235,55*,29.37,171,137.42,0,2,1,22,5
WG Jacks (RCB),2024-2024,8,8,1,230,100*,32.85,131,175.57,1,1,0,16,18
C Green (RCB),2024-2024,12,11,4,228,46,32.57,157,145.22,0,0,0,20,9
AD Russell (KKR),2024-2024,14,9,2,222,64*,31.71,120,185,0,1,0,20,16
R Ravindra (CSK),2024-2024,10,10,0,222,61,22.2,138,160.86,0,1,1,22,12
HH Pandya (MI),2024-2024,14,13,1,216,46,18,151,143.04,0,0,1,17,11
RR Rossouw (PBKS),2024-2024,8,8,0,211,61,26.37,116,181.89,0,1,1,25,11
DA Miller (GT),2024-2024,9,9,3,210,55,35,139,151.07,0,1,0,20,8
AK Markram (SRH),2024-2024,9,9,2,199,50,28.42,152,130.92,0,1,1,15,4
PP Shaw (DC),2024-2024,8,8,0,198,66,24.75,121,163.63,0,1,0,30,5
AR Sharma (PBKS),2024-2024,11,9,2,189,61,27,113,167.25,0,1,0,10,15
Shahbaz Ahmed (SRH),2024-2024,14,10,3,189,59*,27,141,134.04,0,1,1,7,11
R Tewatia (GT),2024-2024,12,9,2,188,36*,26.85,129,145.73,0,0,0,24,5
JM Sharma (PBKS),2024-2024,14,12,1,187,32*,17,142,131.69,0,0,1,9,12
SD Hope (DC),2024-2024,9,9,1,183,41,22.87,122,150,0,0,0,12,12
Abdul Samad (SRH),2024-2024,14,10,2,178,37*,22.25,103,172.81,0,0,0,15,11
